[2023-12-24 23:26:41,225][root][INFO] - Running generation for 5 constitution(s) for 100 revision(s) each.
[2023-12-24 23:27:19,568][root][INFO] - Model generation device: cuda:0
[2023-12-24 23:28:01,812][root][INFO] - Model inference device: cuda:0
[2023-12-24 23:28:07,561][root][INFO] - curr_training_examples: [33077]
[2023-12-24 23:28:07,561][root][INFO] - prev_train_examples: [[33077]]
[2023-12-24 23:28:59,632][root][INFO] - slice idx: -1
[2023-12-24 23:28:59,641][root][INFO] - prev examples: [33077]
[2023-12-24 23:28:59,642][root][INFO] - len prev: 1
[2023-12-24 23:29:03,748][root][INFO] - -100.24217224121094 performance of curr const on curr data
[2023-12-24 23:29:03,751][root][INFO] - -96.42765808105469 performance of prev const on curr data
[2023-12-24 23:29:03,751][root][INFO] - -100.24217224121094 performance of curr const on past data
[2023-12-24 23:29:03,751][root][INFO] - -96.42765808105469 performance of prev const on past data
[2023-12-24 23:29:22,926][root][INFO] - slice idx: -1
[2023-12-24 23:29:22,926][root][INFO] - prev examples: [33077]
[2023-12-24 23:29:22,927][root][INFO] - len prev: 1
[2023-12-24 23:29:27,744][root][INFO] - -100.3108901977539 performance of curr const on curr data
[2023-12-24 23:29:27,756][root][INFO] - -99.26310729980469 performance of prev const on curr data
[2023-12-24 23:29:27,757][root][INFO] - -100.3108901977539 performance of curr const on past data
[2023-12-24 23:29:27,757][root][INFO] - -99.26310729980469 performance of prev const on past data
[2023-12-24 23:29:57,432][root][INFO] - slice idx: -1
[2023-12-24 23:29:57,433][root][INFO] - prev examples: [33077]
[2023-12-24 23:29:57,434][root][INFO] - len prev: 1
[2023-12-24 23:30:01,238][root][INFO] - -103.41818237304688 performance of curr const on curr data
[2023-12-24 23:30:01,255][root][INFO] - -100.78861999511719 performance of prev const on curr data
[2023-12-24 23:30:01,255][root][INFO] - -103.41818237304688 performance of curr const on past data
[2023-12-24 23:30:01,255][root][INFO] - -100.78861999511719 performance of prev const on past data
[2023-12-24 23:30:34,866][root][INFO] - slice idx: -1
[2023-12-24 23:30:34,872][root][INFO] - prev examples: [33077]
[2023-12-24 23:30:34,873][root][INFO] - len prev: 1
[2023-12-24 23:30:48,466][root][INFO] - -101.89622497558594 performance of curr const on curr data
[2023-12-24 23:30:48,477][root][INFO] - -98.42924499511719 performance of prev const on curr data
[2023-12-24 23:30:48,477][root][INFO] - -101.89622497558594 performance of curr const on past data
[2023-12-24 23:30:48,477][root][INFO] - -98.42924499511719 performance of prev const on past data
[2023-12-24 23:31:19,544][root][INFO] - slice idx: -1
[2023-12-24 23:31:19,544][root][INFO] - prev examples: [33077]
[2023-12-24 23:31:19,545][root][INFO] - len prev: 1
[2023-12-24 23:31:24,068][root][INFO] - -99.57091522216797 performance of curr const on curr data
[2023-12-24 23:31:24,082][root][INFO] - -98.2555923461914 performance of prev const on curr data
[2023-12-24 23:31:24,082][root][INFO] - -99.57091522216797 performance of curr const on past data
[2023-12-24 23:31:24,083][root][INFO] - -98.2555923461914 performance of prev const on past data
[2023-12-24 23:31:24,085][root][INFO] - Writing to disk.
[2023-12-24 23:31:24,623][root][INFO] - curr_training_examples: [2389]
[2023-12-24 23:31:24,623][root][INFO] - prev_train_examples: [[33077], [2389]]
[2023-12-24 23:32:01,587][root][INFO] - slice idx: -2
[2023-12-24 23:32:01,587][root][INFO] - prev examples: [33077]
[2023-12-24 23:32:01,588][root][INFO] - len prev: 1
[2023-12-24 23:32:06,733][root][INFO] - 75.18830871582031 performance of curr const on curr data
[2023-12-24 23:32:06,746][root][INFO] - 74.7406234741211 performance of prev const on curr data
[2023-12-24 23:32:06,746][root][INFO] - -100.42424011230469 performance of curr const on past data
[2023-12-24 23:32:06,746][root][INFO] - -97.03977966308594 performance of prev const on past data
[2023-12-24 23:32:27,674][root][INFO] - slice idx: -2
[2023-12-24 23:32:27,675][root][INFO] - prev examples: [33077]
[2023-12-24 23:32:27,676][root][INFO] - len prev: 1
[2023-12-24 23:32:32,682][root][INFO] - 76.18121337890625 performance of curr const on curr data
[2023-12-24 23:32:32,694][root][INFO] - 72.25212860107422 performance of prev const on curr data
[2023-12-24 23:32:32,695][root][INFO] - -102.31341552734375 performance of curr const on past data
[2023-12-24 23:32:32,695][root][INFO] - -100.7444839477539 performance of prev const on past data
[2023-12-24 23:33:05,925][root][INFO] - slice idx: -2
[2023-12-24 23:33:05,926][root][INFO] - prev examples: [33077]
[2023-12-24 23:33:05,928][root][INFO] - len prev: 1
[2023-12-24 23:33:11,480][root][INFO] - 74.95620727539062 performance of curr const on curr data
[2023-12-24 23:33:11,493][root][INFO] - 74.6243667602539 performance of prev const on curr data
[2023-12-24 23:33:11,494][root][INFO] - -99.18434143066406 performance of curr const on past data
[2023-12-24 23:33:11,494][root][INFO] - -98.64729309082031 performance of prev const on past data
[2023-12-24 23:33:40,484][root][INFO] - slice idx: -2
[2023-12-24 23:33:40,485][root][INFO] - prev examples: [33077]
[2023-12-24 23:33:40,487][root][INFO] - len prev: 1
[2023-12-24 23:33:55,851][root][INFO] - 73.77643585205078 performance of curr const on curr data
[2023-12-24 23:33:55,866][root][INFO] - 74.19158172607422 performance of prev const on curr data
[2023-12-24 23:33:55,867][root][INFO] - -102.97428894042969 performance of curr const on past data
[2023-12-24 23:33:55,867][root][INFO] - -98.94133758544922 performance of prev const on past data
[2023-12-24 23:34:26,876][root][INFO] - slice idx: -2
[2023-12-24 23:34:26,877][root][INFO] - prev examples: [33077]
[2023-12-24 23:34:26,879][root][INFO] - len prev: 1
[2023-12-24 23:34:31,717][root][INFO] - 76.36978149414062 performance of curr const on curr data
[2023-12-24 23:34:31,732][root][INFO] - 74.86370849609375 performance of prev const on curr data
[2023-12-24 23:34:31,734][root][INFO] - -102.11936950683594 performance of curr const on past data
[2023-12-24 23:34:31,734][root][INFO] - -99.88179016113281 performance of prev const on past data
[2023-12-24 23:34:31,736][root][INFO] - Writing to disk.
[2023-12-24 23:34:32,141][root][INFO] - curr_training_examples: [6937]
[2023-12-24 23:34:32,141][root][INFO] - prev_train_examples: [[33077], [2389], [6937]]
[2023-12-24 23:35:04,370][root][INFO] - slice idx: -2
[2023-12-24 23:35:04,371][root][INFO] - prev examples: [2389]
[2023-12-24 23:35:04,372][root][INFO] - len prev: 1
[2023-12-24 23:35:09,861][root][INFO] - -41.299705505371094 performance of curr const on curr data
[2023-12-24 23:35:09,876][root][INFO] - -39.9337158203125 performance of prev const on curr data
[2023-12-24 23:35:09,877][root][INFO] - 76.35855865478516 performance of curr const on past data
[2023-12-24 23:35:09,878][root][INFO] - 74.6276626586914 performance of prev const on past data
[2023-12-24 23:35:26,163][root][INFO] - slice idx: -2
[2023-12-24 23:35:26,164][root][INFO] - prev examples: [2389]
[2023-12-24 23:35:26,168][root][INFO] - len prev: 1
[2023-12-24 23:35:32,257][root][INFO] - -41.15373992919922 performance of curr const on curr data
[2023-12-24 23:35:32,271][root][INFO] - -36.88800811767578 performance of prev const on curr data
[2023-12-24 23:35:32,272][root][INFO] - 76.60873413085938 performance of curr const on past data
[2023-12-24 23:35:32,272][root][INFO] - 74.92483520507812 performance of prev const on past data
[2023-12-24 23:36:01,312][root][INFO] - slice idx: -2
[2023-12-24 23:36:01,312][root][INFO] - prev examples: [2389]
[2023-12-24 23:36:01,315][root][INFO] - len prev: 1
[2023-12-24 23:36:07,706][root][INFO] - -42.379547119140625 performance of curr const on curr data
[2023-12-24 23:36:07,723][root][INFO] - -41.392494201660156 performance of prev const on curr data
[2023-12-24 23:36:07,724][root][INFO] - 74.06558227539062 performance of curr const on past data
[2023-12-24 23:36:07,725][root][INFO] - 72.04065704345703 performance of prev const on past data
