[2024-01-16 09:34:24,085][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:24,320][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:40,373] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-01-16 09:34:40,529] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-01-16 09:34:40,530] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
trainable params: 6,815,744 || all params: 7,248,547,840 || trainable%: 0.0940290959023318
[2024-01-16 09:34:40,819][root][INFO] - PEFT Params: None
[2024-01-16 09:34:40,821] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-01-16 09:34:40,821][accelerate.utils.other][WARNING] - Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
[2024-01-16 09:34:40,972] [INFO] [comm.py:637:init_distributed] cdb=None
trainable params: 6,815,744 || all params: 7,248,547,840 || trainable%: 0.0940290959023318
[2024-01-16 09:34:41,387][root][INFO] - PEFT Params: None
{'loss': 1.9127, 'learning_rate': 9.999000000000001e-05, 'epoch': 0.0}
{'loss': 1.7654, 'learning_rate': 9.998e-05, 'epoch': 0.01}
{'loss': 1.792, 'learning_rate': 9.997e-05, 'epoch': 0.01}
{'loss': 1.759, 'learning_rate': 9.996000000000001e-05, 'epoch': 0.01}
{'loss': 1.6186, 'learning_rate': 9.995e-05, 'epoch': 0.02}
{'loss': 1.8281, 'learning_rate': 9.994e-05, 'epoch': 0.02}
{'loss': 1.5979, 'learning_rate': 9.993e-05, 'epoch': 0.03}
{'loss': 1.8212, 'learning_rate': 9.992e-05, 'epoch': 0.03}
{'loss': 1.7006, 'learning_rate': 9.991e-05, 'epoch': 0.03}
{'loss': 1.6147, 'learning_rate': 9.99e-05, 'epoch': 0.04}
{'loss': 1.8112, 'learning_rate': 9.989000000000001e-05, 'epoch': 0.04}
{'loss': 1.5485, 'learning_rate': 9.988000000000001e-05, 'epoch': 0.04}
{'loss': 1.8022, 'learning_rate': 9.987e-05, 'epoch': 0.05}
{'loss': 1.5791, 'learning_rate': 9.986000000000001e-05, 'epoch': 0.05}
{'loss': 1.761, 'learning_rate': 9.985000000000001e-05, 'epoch': 0.05}
{'loss': 1.7839, 'learning_rate': 9.984e-05, 'epoch': 0.06}
{'loss': 1.5905, 'learning_rate': 9.983e-05, 'epoch': 0.06}
{'loss': 1.6721, 'learning_rate': 9.982e-05, 'epoch': 0.06}
{'loss': 1.718, 'learning_rate': 9.981000000000001e-05, 'epoch': 0.07}
{'loss': 1.8177, 'learning_rate': 9.98e-05, 'epoch': 0.07}
{'loss': 1.5784, 'learning_rate': 9.979e-05, 'epoch': 0.08}
{'loss': 1.7062, 'learning_rate': 9.978000000000001e-05, 'epoch': 0.08}
{'loss': 1.7718, 'learning_rate': 9.977e-05, 'epoch': 0.08}
{'loss': 1.6995, 'learning_rate': 9.976000000000001e-05, 'epoch': 0.09}
{'loss': 1.7341, 'learning_rate': 9.975000000000001e-05, 'epoch': 0.09}
{'loss': 1.7566, 'learning_rate': 9.974e-05, 'epoch': 0.09}
{'loss': 1.6557, 'learning_rate': 9.973e-05, 'epoch': 0.1}
{'loss': 1.698, 'learning_rate': 9.972e-05, 'epoch': 0.1}
{'loss': 1.7894, 'learning_rate': 9.971e-05, 'epoch': 0.1}
{'loss': 1.693, 'learning_rate': 9.970000000000001e-05, 'epoch': 0.11}
{'loss': 1.6822, 'learning_rate': 9.969e-05, 'epoch': 0.11}
{'loss': 1.6288, 'learning_rate': 9.968000000000001e-05, 'epoch': 0.11}
{'loss': 1.7371, 'learning_rate': 9.967000000000001e-05, 'epoch': 0.12}
{'loss': 1.7295, 'learning_rate': 9.966e-05, 'epoch': 0.12}
{'loss': 1.6919, 'learning_rate': 9.965000000000001e-05, 'epoch': 0.13}
{'loss': 1.7267, 'learning_rate': 9.964e-05, 'epoch': 0.13}
{'loss': 1.7348, 'learning_rate': 9.963e-05, 'epoch': 0.13}
{'loss': 1.5659, 'learning_rate': 9.962e-05, 'epoch': 0.14}
{'loss': 1.8026, 'learning_rate': 9.961e-05, 'epoch': 0.14}
{'loss': 1.7761, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.14}
{'loss': 1.5576, 'learning_rate': 9.959e-05, 'epoch': 0.15}
{'loss': 1.6979, 'learning_rate': 9.958e-05, 'epoch': 0.15}
{'loss': 1.7526, 'learning_rate': 9.957000000000001e-05, 'epoch': 0.15}
{'loss': 1.8032, 'learning_rate': 9.956e-05, 'epoch': 0.16}
{'loss': 1.7602, 'learning_rate': 9.955000000000001e-05, 'epoch': 0.16}
{'loss': 1.7477, 'learning_rate': 9.954e-05, 'epoch': 0.17}
{'loss': 1.6706, 'learning_rate': 9.953e-05, 'epoch': 0.17}
